x,y1,y2
0.0,18836.0,9022.0
0.01,18820.0,9029.0
0.02,18797.0,9034.0
0.03,18788.0,9036.0
0.04,18812.0,9053.0
0.05,18731.0,9029.0
0.06,18732.0,9045.0
0.07,18793.0,9041.0
0.08,18735.0,9045.0
0.09,18754.0,9055.0
0.1,18755.0,9059.0
0.11,18728.0,9047.0
0.12,18738.0,9064.0
0.13,18752.0,9042.0
0.14,18718.0,9045.0
0.15,18718.0,9040.0
0.16,18709.0,9043.0
0.17,18779.0,9041.0
0.18,18733.0,9039.0
0.19,18708.0,9024.0
0.2,18760.0,9019.0
0.21,18794.0,9039.0
0.22,18696.0,9028.0
0.23,18772.0,9026.0
0.24,18808.0,9021.0
0.25,18760.0,9012.0
0.26,18848.0,9017.0
0.27,18846.0,9013.0
0.28,18815.0,9025.0
0.29,18812.0,9022.0
0.3,18883.0,9025.0
0.31,18880.0,9031.0
0.32,18873.0,9029.0
0.33,18920.0,9022.0
0.34,18959.0,9037.0
0.35,18916.0,9026.0
0.36,18937.0,9032.0
0.37,18999.0,9029.0
0.38,18995.0,9028.0
0.39,19023.0,9043.0
0.4,19067.0,9035.0
0.41,19047.0,9032.0
0.42,19081.0,9049.0
0.43,19126.0,9040.0
0.44,19121.0,9037.0
0.45,19131.0,9049.0
0.46,19085.0,9041.0
0.47,19133.0,9040.0
0.48,19133.0,9051.0
0.49,19138.0,9047.0
0.5,19105.0,9028.0
0.51,19120.0,9040.0
0.52,19103.0,9040.0
0.53,19137.0,9023.0
0.54,19108.0,9019.0
0.55,19099.0,9033.0
0.56,19103.0,9031.0
0.57,19091.0,9020.0
0.58,19016.0,9011.0
0.59,19044.0,9023.0
0.6,19058.0,9022.0
0.61,19003.0,9018.0
0.62,18930.0,9024.0
0.63,19008.0,9027.0
0.64,19017.0,9021.0
0.65,18967.0,9024.0
0.66,18959.0,9027.0
0.67,18950.0,9032.0
0.68,18929.0,9030.0
0.69,18964.0,9032.0
0.7,18996.0,9025.0
0.71,18984.0,9034.0
0.72,19002.0,9026.0
0.73,18994.0,9031.0
0.74,19017.0,9034.0
0.75,19011.0,9034.0
0.76,19031.0,9039.0
0.77,19073.0,9035.0
0.78,19071.0,9026.0
0.79,19105.0,9040.0
0.8,19111.0,9024.0
0.81,19133.0,9029.0
0.82,19097.0,9029.0
0.83,19172.0,9034.0
0.84,19168.0,9023.0
0.85,19148.0,9033.0
0.86,19228.0,9041.0
0.87,19239.0,9032.0
0.88,19187.0,9037.0
0.89,19233.0,9031.0
0.9,19288.0,9037.0
0.91,19314.0,9026.0
0.92,19300.0,9021.0
0.93,19373.0,9031.0
0.94,19372.0,9025.0
0.95,19349.0,9026.0
0.96,19375.0,9032.0
0.97,19420.0,9038.0
0.98,19395.0,9027.0
0.99,19382.0,9033.0
1.0,19444.0,9034.0
1.01,19417.0,9032.0
1.02,19430.0,9041.0
1.03,19436.0,9045.0
1.04,19403.0,9030.0
1.05,19381.0,9027.0
1.06,19372.0,9037.0
1.07,19404.0,9026.0
1.08,19367.0,9039.0
1.09,19294.0,9033.0
1.1,19351.0,9030.0
1.11,19314.0,9030.0
1.12,19290.0,9030.0
1.13,19374.0,9043.0
1.14,19335.0,9033.0
1.15,19293.0,9031.0
1.16,19329.0,9035.0
1.17,19344.0,9034.0
1.18,19344.0,9041.0
1.19,19348.0,9029.0
1.2,19322.0,9027.0
1.21,19335.0,9033.0
1.22,19312.0,9034.0
1.23,19361.0,9033.0
1.24,19345.0,9027.0
1.25,19289.0,9027.0
