x,y1,y2
0.0,18822.0,8993.0
0.01,18854.0,9010.0
0.02,18806.0,9021.0
0.03,18822.0,9023.0
0.04,18802.0,9016.0
0.05,18762.0,9010.0
0.06,18798.0,9016.0
0.07,18801.0,9020.0
0.08,18808.0,9024.0
0.09,18859.0,9030.0
0.1,18814.0,9023.0
0.11,18805.0,9004.0
0.12,18822.0,9029.0
0.13,18797.0,9034.0
0.14,18734.0,9005.0
0.15,18788.0,9014.0
0.16,18836.0,9026.0
0.17,18769.0,9034.0
0.18,18802.0,9024.0
0.19,18782.0,9004.0
0.2,18731.0,9015.0
0.21,18786.0,9032.0
0.22,18804.0,9031.0
0.23,18765.0,9022.0
0.24,18836.0,9008.0
0.25,18863.0,9008.0
0.26,18796.0,9019.0
0.27,18867.0,9016.0
0.28,18845.0,9024.0
0.29,18784.0,9034.0
0.3,18849.0,9018.0
0.31,18881.0,9031.0
0.32,18833.0,9009.0
0.33,18918.0,9026.0
0.34,18902.0,9022.0
0.35,18886.0,9009.0
0.36,18891.0,9005.0
0.37,18900.0,9023.0
0.38,18863.0,9030.0
0.39,18920.0,9032.0
0.4,18984.0,9022.0
0.41,18935.0,9028.0
0.42,18963.0,9025.0
0.43,19005.0,9002.0
0.44,19014.0,9004.0
0.45,19002.0,9002.0
0.46,19032.0,8995.0
0.47,19021.0,9013.0
0.48,19092.0,9009.0
0.49,19084.0,9027.0
0.5,19048.0,9024.0
0.51,19100.0,9016.0
0.52,19092.0,9014.0
0.53,19020.0,9028.0
0.54,19095.0,9026.0
0.55,19084.0,9037.0
0.56,19120.0,9013.0
0.57,19117.0,9007.0
0.58,19077.0,9019.0
0.59,19021.0,9011.0
0.6,19064.0,9072.0
0.61,19010.0,9024.0
0.62,18960.0,8995.0
0.63,19029.0,9042.0
0.64,19054.0,9021.0
0.65,19003.0,9015.0
0.66,19037.0,9021.0
0.67,19043.0,9010.0
0.68,18958.0,9008.0
0.69,18976.0,9016.0
0.7,19003.0,9031.0
0.71,18991.0,9032.0
0.72,19067.0,9029.0
0.73,19062.0,9035.0
0.74,19059.0,9038.0
0.75,19116.0,9032.0
0.76,19075.0,9033.0
0.77,19011.0,9031.0
0.78,19073.0,9007.0
0.79,19095.0,9009.0
0.8,19102.0,9002.0
0.81,19148.0,9002.0
0.82,19140.0,9030.0
0.83,19090.0,9035.0
0.84,19137.0,8990.0
0.85,19121.0,9017.0
0.86,19126.0,9009.0
0.87,19198.0,8997.0
0.88,19210.0,9019.0
0.89,19234.0,9019.0
0.9,19306.0,9004.0
0.91,19312.0,9022.0
0.92,19305.0,9020.0
0.93,19352.0,9022.0
0.94,19353.0,9015.0
0.95,19332.0,9020.0
0.96,19386.0,8996.0
0.97,19379.0,9010.0
0.98,19362.0,9003.0
0.99,19434.0,9015.0
1.0,19405.0,8995.0
1.01,19347.0,9007.0
1.02,19408.0,9023.0
1.03,19401.0,9010.0
1.04,19360.0,9013.0
1.05,19446.0,9004.0
1.06,19436.0,9014.0
1.07,19413.0,9009.0
1.08,19444.0,9010.0
1.09,19416.0,9014.0
1.1,19352.0,9023.0
1.11,19383.0,9024.0
1.12,19426.0,9032.0
1.13,19357.0,9021.0
1.14,19437.0,9022.0
1.15,19436.0,9027.0
1.16,19393.0,9035.0
1.17,19380.0,9008.0
1.18,19412.0,9035.0
1.19,19362.0,9006.0
1.2,19403.0,9005.0
1.21,19444.0,9017.0
1.22,19416.0,9005.0
1.23,19487.0,9007.0
1.24,19466.0,9020.0
1.25,19429.0,9029.0
1.26,19442.0,9036.0
1.27,19481.0,9028.0
1.28,19485.0,9031.0
1.29,19532.0,9020.0
1.3,19538.0,9025.0
1.31,19537.0,9018.0
1.32,19527.0,9028.0
1.33,19545.0,9015.0
1.34,19508.0,9025.0
1.35,19555.0,9010.0
1.36,19574.0,9012.0
1.37,19580.0,9017.0
1.38,19672.0,9016.0
1.39,19688.0,9008.0
1.4,19640.0,9029.0
1.41,19658.0,9025.0
1.42,19664.0,9017.0
1.43,19617.0,9026.0
1.44,19705.0,9031.0
1.45,19716.0,9039.0
1.46,19750.0,9019.0
1.47,19784.0,9026.0
1.48,19769.0,9012.0
1.49,19710.0,9024.0
1.5,19765.0,9025.0
1.51,19792.0,9014.0
1.52,19751.0,9011.0
1.53,19821.0,9005.0
1.54,19833.0,9032.0
1.55,19772.0,9017.0
1.56,19835.0,9033.0
1.57,19796.0,9028.0
1.58,19686.0,9026.0
1.59,19760.0,9025.0
1.6,19785.0,9030.0
1.61,19759.0,9012.0
1.62,19774.0,9012.0
1.63,19819.0,9030.0
1.64,19791.0,9006.0
1.65,19808.0,9029.0
1.66,19788.0,9002.0
1.67,19783.0,9005.0
1.68,19869.0,9003.0
1.69,19832.0,9012.0
1.7,19810.0,9006.0
1.71,19852.0,9010.0
1.72,19810.0,9003.0
1.73,19785.0,9004.0
1.74,19813.0,9006.0
1.75,19815.0,9010.0
1.76,19800.0,8997.0
1.77,19871.0,9014.0
1.78,19903.0,9007.0
1.79,19864.0,9023.0
1.8,19913.0,9019.0
1.81,19908.0,9026.0
1.82,19842.0,9021.0
1.83,19858.0,9027.0
1.84,19889.0,9025.0
1.85,19895.0,9023.0
1.86,20015.0,9026.0
1.87,20074.0,9033.0
1.88,20007.0,9026.0
1.89,20076.0,9022.0
1.9,20078.0,9016.0
1.91,19997.0,9031.0
1.92,20106.0,9024.0
1.93,20167.0,9023.0
1.94,20163.0,9025.0
1.95,20216.0,9023.0
1.96,20244.0,9024.0
1.97,20226.0,9025.0
1.98,20268.0,9033.0
1.99,20250.0,9032.0
2.0,20247.0,9033.0
2.01,20277.0,9023.0
2.02,20284.0,9032.0
2.03,20282.0,9030.0
2.04,20374.0,9003.0
2.05,20346.0,9024.0
2.06,20327.0,9013.0
2.07,20302.0,9024.0
2.08,20278.0,9005.0
2.09,20255.0,9011.0
2.1,20335.0,9014.0
2.11,20340.0,9005.0
2.12,20336.0,9003.0
2.13,20348.0,9020.0
2.14,20339.0,9027.0
2.15,20290.0,9031.0
2.16,20303.0,9010.0
2.17,20311.0,9019.0
2.18,20301.0,9034.0
2.19,20410.0,9020.0
2.2,20409.0,9028.0
2.21,20359.0,9021.0
2.22,20416.0,9027.0
2.23,20395.0,9011.0
2.24,20332.0,9031.0
2.25,20415.0,9024.0
2.26,20457.0,9031.0
2.27,20421.0,9024.0
2.28,20506.0,9011.0
2.29,20465.0,9012.0
2.3,20414.0,9004.0
2.31,20533.0,9016.0
2.32,20478.0,9015.0
2.33,20430.0,9004.0
2.34,20540.0,9016.0
2.35,20565.0,9014.0
2.36,20540.0,9024.0
2.37,20664.0,9007.0
2.38,20684.0,9012.0
2.39,20608.0,9031.0
2.4,20663.0,9026.0
2.41,20707.0,9025.0
2.42,20692.0,9002.0
2.43,20809.0,9008.0
2.44,20809.0,9018.0
2.45,20788.0,9024.0
2.46,20864.0,9021.0
2.47,20844.0,9026.0
2.48,20799.0,9031.0
2.49,20876.0,9018.0
2.5,20873.0,9027.0
2.51,20876.0,9029.0
2.52,20970.0,9024.0
2.53,20993.0,9039.0
2.54,20955.0,9034.0
2.55,21000.0,9028.0
2.56,20967.0,9023.0
2.57,20890.0,9025.0
2.58,20946.0,9030.0
2.59,20974.0,9021.0
2.6,20917.0,9007.0
2.61,21016.0,9011.0
2.62,20987.0,9019.0
2.63,20964.0,9012.0
2.64,21043.0,9006.0
2.65,20995.0,9019.0
2.66,20968.0,9000.0
2.67,21060.0,9014.0
2.68,21042.0,9027.0
2.69,21067.0,9040.0
2.7,21125.0,9029.0
2.71,21102.0,9031.0
2.72,21075.0,9028.0
2.73,21140.0,9036.0
2.74,21196.0,9030.0
2.75,21129.0,9037.0
2.76,21223.0,9026.0
2.77,21280.0,9034.0
2.78,21217.0,9004.0
2.79,21256.0,9015.0
2.8,21236.0,9041.0
2.81,21142.0,9019.0
2.82,21204.0,9013.0
2.83,21244.0,9007.0
2.84,21192.0,9023.0
2.85,21223.0,9012.0
2.86,21293.0,9026.0
2.87,21249.0,9020.0
2.88,21286.0,9017.0
2.89,21353.0,9017.0
2.9,21382.0,9027.0
2.91,21437.0,9012.0
2.92,21487.0,9015.0
2.93,21500.0,9015.0
2.94,21534.0,9010.0
2.95,21506.0,9017.0
2.96,21495.0,9024.0
2.97,21553.0,9015.0
2.98,21511.0,9017.0
2.99,21498.0,9021.0
3.0,21583.0,9013.0
3.01,21603.0,9017.0
3.02,21583.0,9019.0
3.03,21642.0,9012.0
3.04,21603.0,9024.0
3.05,21569.0,9032.0
3.06,21599.0,9019.0
3.07,21581.0,9035.0
3.08,21546.0,9035.0
3.09,21629.0,9037.0
3.1,21643.0,9042.0
3.11,21558.0,9030.0
3.12,21676.0,9036.0
3.13,21616.0,9044.0
3.14,21547.0,9033.0
3.15,21660.0,9029.0
3.16,21651.0,9042.0
3.17,21585.0,9041.0
3.18,21672.0,9039.0
3.19,21683.0,9042.0
3.2,21594.0,9047.0
3.21,21695.0,9039.0
3.22,21647.0,9042.0
3.23,21600.0,9034.0
3.24,21643.0,9042.0
3.25,21687.0,9051.0
3.26,21663.0,9040.0
3.27,21741.0,9046.0
3.28,21708.0,9048.0
3.29,21625.0,9041.0
3.3,21725.0,9042.0
3.31,21786.0,9048.0
3.32,21727.0,9044.0
3.33,21831.0,9037.0
3.34,21862.0,9045.0
3.35,21804.0,9046.0
3.36,21857.0,9043.0
3.37,21855.0,9044.0
3.38,21810.0,9050.0
3.39,21875.0,9046.0
3.4,21893.0,9049.0
3.41,21850.0,9042.0
3.42,21953.0,9032.0
3.43,21962.0,9018.0
3.44,21928.0,9024.0
3.45,22042.0,9019.0
3.46,22011.0,9034.0
3.47,21898.0,9015.0
3.48,22037.0,9027.0
3.49,22056.0,9039.0
3.5,21997.0,9035.0
3.51,22112.0,9039.0
3.52,22124.0,9021.0
3.53,21997.0,9032.0
3.54,22048.0,9029.0
3.55,22012.0,9036.0
3.56,21916.0,9041.0
3.57,22040.0,9037.0
3.58,22037.0,9042.0
3.59,21874.0,9042.0
3.6,21899.0,9028.0
3.61,21962.0,9024.0
3.62,21880.0,9020.0
3.63,22000.0,9031.0
3.64,21934.0,9041.0
3.65,21920.0,9015.0
3.66,21914.0,9009.0
3.67,21841.0,9025.0
3.68,21765.0,9040.0
