x,y1,y2
0.0,16682.0,2280.0
0.01,16662.0,2281.0
0.02,16656.0,2283.0
0.03,16674.0,2280.0
0.04,16696.0,2283.0
0.05,16701.0,2281.0
0.06,16703.0,2281.0
0.07,16683.0,2282.0
0.08,16719.0,2282.0
0.09,16761.0,2283.0
0.1,16733.0,2285.0
0.11,16722.0,2284.0
0.12,16745.0,2286.0
0.13,16723.0,2285.0
0.14,16725.0,2281.0
0.15,16734.0,2283.0
0.16,16753.0,2284.0
0.17,16765.0,2282.0
0.18,16782.0,2282.0
0.19,16754.0,2284.0
0.2,16782.0,2284.0
0.21,16790.0,2284.0
0.22,16747.0,2282.0
0.23,16771.0,2282.0
0.24,16792.0,2284.0
0.25,16788.0,2287.0
0.26,16833.0,2283.0
0.27,16850.0,2283.0
0.28,16838.0,2286.0
0.29,16836.0,2284.0
0.3,16842.0,2286.0
0.31,16833.0,2287.0
0.32,16871.0,2284.0
0.33,16886.0,2284.0
0.34,16888.0,2282.0
0.35,16963.0,2283.0
0.36,17011.0,2278.0
0.37,16948.0,2281.0
0.38,16964.0,2284.0
0.39,16966.0,2284.0
0.4,16980.0,2282.0
0.41,17035.0,2282.0
0.42,17040.0,2282.0
0.43,17013.0,2281.0
0.44,17086.0,2281.0
0.45,17105.0,2282.0
0.46,17083.0,2282.0
0.47,17082.0,2280.0
0.48,17091.0,2282.0
0.49,17079.0,2282.0
0.5,17109.0,2279.0
0.51,17169.0,2278.0
0.52,17112.0,2283.0
0.53,17174.0,2277.0
0.54,17177.0,2282.0
0.55,17144.0,2278.0
0.56,17169.0,2276.0
0.57,17170.0,2278.0
0.58,17152.0,2278.0
0.59,17196.0,2281.0
0.6,17199.0,2278.0
0.61,17160.0,2279.0
0.62,17191.0,2280.0
0.63,17159.0,2282.0
0.64,17139.0,2281.0
0.65,17160.0,2280.0
0.66,17202.0,2279.0
0.67,17218.0,2282.0
0.68,17236.0,2280.0
0.69,17229.0,2281.0
0.7,17209.0,2282.0
0.71,17254.0,2281.0
0.72,17293.0,2282.0
0.73,17259.0,2280.0
0.74,17234.0,2280.0
0.75,17251.0,2283.0
0.76,17244.0,2283.0
0.77,17275.0,2282.0
0.78,17277.0,2283.0
0.79,17261.0,2279.0
0.8,17279.0,2278.0
0.81,17296.0,2285.0
0.82,17278.0,2279.0
0.83,17361.0,2282.0
0.84,17383.0,2281.0
0.85,17360.0,2282.0
0.86,17389.0,2283.0
0.87,17341.0,2284.0
0.88,17392.0,2275.0
0.89,17430.0,2276.0
0.9,17441.0,2282.0
0.91,17411.0,2274.0
0.92,17467.0,2279.0
0.93,17491.0,2282.0
0.94,17488.0,2279.0
0.95,17537.0,2275.0
0.96,17538.0,2279.0
0.97,17513.0,2277.0
0.98,17555.0,2278.0
0.99,17562.0,2274.0
1.0,17592.0,2276.0
1.01,17619.0,2275.0
1.02,17645.0,2276.0
1.03,17641.0,2276.0
1.04,17658.0,2278.0
1.05,17638.0,2273.0
1.06,17663.0,2273.0
1.07,17697.0,2276.0
1.08,17669.0,2279.0
1.09,17672.0,2278.0
1.1,17712.0,2281.0
1.11,17694.0,2281.0
1.12,17691.0,2282.0
1.13,17720.0,2282.0
1.14,17703.0,2279.0
1.15,17677.0,2282.0
1.16,17719.0,2280.0
1.17,17707.0,2280.0
1.18,17744.0,2281.0
1.19,17788.0,2281.0
1.2,17752.0,2283.0
1.21,17738.0,2277.0
1.22,17775.0,2280.0
1.23,17722.0,2281.0
1.24,17727.0,2279.0
1.25,17792.0,2279.0
1.26,17779.0,2282.0
1.27,17782.0,2281.0
1.28,17851.0,2274.0
1.29,17830.0,2276.0
1.3,17801.0,2276.0
1.31,17819.0,2276.0
1.32,17822.0,2278.0
1.33,17831.0,2276.0
1.34,17870.0,2272.0
1.35,17876.0,2277.0
1.36,17872.0,2274.0
1.37,17912.0,2278.0
1.38,17904.0,2278.0
1.39,17882.0,2272.0
1.4,17926.0,2275.0
1.41,17942.0,2269.0
1.42,17956.0,2274.0
1.43,18013.0,2271.0
1.44,18023.0,2274.0
1.45,18022.0,2272.0
1.46,18027.0,2271.0
1.47,18049.0,2273.0
1.48,18056.0,2271.0
1.49,18069.0,2268.0
1.5,18086.0,2273.0
1.51,18097.0,2274.0
1.52,18112.0,2273.0
1.53,18118.0,2274.0
1.54,18124.0,2271.0
1.55,18129.0,2273.0
1.56,18103.0,2274.0
1.57,18123.0,2274.0
1.58,18150.0,2274.0
1.59,18151.0,2272.0
1.6,18154.0,2270.0
1.61,18177.0,2271.0
1.62,18167.0,2273.0
1.63,18173.0,2269.0
1.64,18186.0,2269.0
1.65,18175.0,2274.0
1.66,18201.0,2270.0
1.67,18223.0,2270.0
1.68,18202.0,2272.0
1.69,18216.0,2273.0
1.7,18230.0,2273.0
1.71,18179.0,2275.0
1.72,18191.0,2272.0
1.73,18260.0,2274.0
1.74,18228.0,2275.0
1.75,18242.0,2273.0
1.76,18309.0,2273.0
1.77,18282.0,2276.0
1.78,18267.0,2275.0
1.79,18324.0,2273.0
1.8,18316.0,2275.0
1.81,18317.0,2275.0
1.82,18354.0,2275.0
1.83,18372.0,2270.0
1.84,18398.0,2274.0
1.85,18400.0,2273.0
1.86,18403.0,2275.0
1.87,18405.0,2273.0
1.88,18441.0,2273.0
1.89,18445.0,2276.0
1.9,18454.0,2275.0
1.91,18488.0,2275.0
1.92,18503.0,2274.0
1.93,18526.0,2274.0
1.94,18543.0,2273.0
1.95,18539.0,2272.0
1.96,18545.0,2272.0
1.97,18582.0,2273.0
1.98,18580.0,2268.0
1.99,18617.0,2270.0
2.0,18637.0,2271.0
2.01,18640.0,2272.0
2.02,18660.0,2269.0
2.03,18677.0,2271.0
2.04,18657.0,2268.0
2.05,18668.0,2269.0
2.06,18701.0,2273.0
2.07,18685.0,2272.0
2.08,18718.0,2271.0
2.09,18740.0,2274.0
2.1,18723.0,2272.0
2.11,18729.0,2271.0
2.12,18749.0,2274.0
2.13,18738.0,2272.0
2.14,18747.0,2272.0
2.15,18759.0,2271.0
2.16,18770.0,2271.0
2.17,18797.0,2272.0
2.18,18811.0,2273.0
2.19,18782.0,2271.0
2.2,18819.0,2272.0
2.21,18816.0,2272.0
2.22,18766.0,2272.0
2.23,18798.0,2273.0
2.24,18839.0,2268.0
2.25,18830.0,2271.0
2.26,18865.0,2270.0
2.27,18868.0,2271.0
2.28,18854.0,2269.0
2.29,18874.0,2267.0
2.3,18880.0,2274.0
2.31,18858.0,2272.0
2.32,18907.0,2272.0
2.33,18925.0,2275.0
2.34,18907.0,2273.0
2.35,18962.0,2270.0
2.36,18978.0,2271.0
2.37,18930.0,2270.0
2.38,18968.0,2269.0
2.39,19007.0,2268.0
2.4,18996.0,2267.0
2.41,19047.0,2269.0
2.42,19050.0,2273.0
2.43,19014.0,2272.0
2.44,19043.0,2267.0
2.45,19062.0,2269.0
2.46,19011.0,2271.0
2.47,19037.0,2272.0
2.48,19068.0,2270.0
2.49,19040.0,2272.0
2.5,19078.0,2270.0
2.51,19092.0,2273.0
2.52,19052.0,2272.0
2.53,19059.0,2272.0
2.54,19052.0,2269.0
2.55,19042.0,2273.0
2.56,19028.0,2271.0
2.57,19059.0,2270.0
2.58,19083.0,2271.0
2.59,19070.0,2270.0
2.6,19076.0,2271.0
2.61,19087.0,2266.0
2.62,19082.0,2269.0
2.63,19047.0,2266.0
2.64,19051.0,2268.0
2.65,19065.0,2268.0
2.66,19047.0,2269.0
2.67,19058.0,2270.0
2.68,19087.0,2269.0
2.69,19073.0,2269.0
2.7,19019.0,2271.0
2.71,19047.0,2272.0
2.72,19072.0,2270.0
2.73,18972.0,2269.0
2.74,19065.0,2268.0
2.75,19065.0,2271.0
2.76,19005.0,2270.0
2.77,19035.0,2270.0
2.78,18995.0,2270.0
2.79,18964.0,2270.0
2.8,18999.0,2270.0
2.81,18996.0,2269.0
2.82,18986.0,2269.0
2.83,19035.0,2269.0
2.84,19033.0,2272.0
2.85,18971.0,2265.0
2.86,19025.0,2263.0
2.87,19017.0,2267.0
2.88,18982.0,2266.0
2.89,19013.0,2266.0
2.9,19014.0,2265.0
2.91,18977.0,2262.0
2.92,19027.0,2269.0
2.93,19018.0,2268.0
2.94,18960.0,2270.0
2.95,18975.0,2267.0
2.96,18958.0,2268.0
2.97,18964.0,2270.0
2.98,19016.0,2268.0
2.99,18973.0,2269.0
3.0,18961.0,2267.0
3.01,18991.0,2266.0
3.02,18948.0,2270.0
3.03,18908.0,2268.0
3.04,18922.0,2267.0
3.05,18905.0,2270.0
3.06,18864.0,2270.0
3.07,18902.0,2268.0
3.08,18875.0,2265.0
3.09,18833.0,2267.0
3.1,18831.0,2269.0
3.11,18792.0,2267.0
3.12,18779.0,2267.0
3.13,18802.0,2268.0
3.14,18768.0,2269.0
3.15,18701.0,2267.0
3.16,18771.0,2264.0
3.17,18732.0,2265.0
3.18,18643.0,2268.0
3.19,18698.0,2263.0
3.2,18668.0,2269.0
3.21,18603.0,2271.0
3.22,18612.0,2266.0
3.23,18596.0,2268.0
3.24,18538.0,2265.0
3.25,18573.0,2268.0
3.26,18563.0,2266.0
3.27,18465.0,2268.0
3.28,18444.0,2265.0
3.29,18427.0,2267.0
3.3,18382.0,2266.0
3.31,18381.0,2267.0
3.32,18310.0,2272.0
3.33,18269.0,2269.0
3.34,18263.0,2270.0
3.35,18209.0,2267.0
3.36,18170.0,2267.0
3.37,18228.0,2264.0
3.38,18179.0,2265.0
3.39,18157.0,2270.0
3.4,18139.0,2270.0
3.41,18049.0,2269.0
3.42,18047.0,2269.0
3.43,18059.0,2270.0
3.44,17985.0,2270.0
3.45,17922.0,2268.0
3.46,17937.0,2268.0
3.47,17863.0,2271.0
3.48,17838.0,2264.0
3.49,17858.0,2268.0
3.5,17780.0,2266.0
3.51,17710.0,2264.0
3.52,17709.0,2268.0
3.53,17607.0,2271.0
3.54,17543.0,2268.0
3.55,17547.0,2269.0
3.56,17477.0,2275.0
3.57,17386.0,2270.0
3.58,17371.0,2271.0
3.59,17310.0,2271.0
3.6,17184.0,2270.0
3.61,17178.0,2269.0
3.62,17083.0,2272.0
3.63,16984.0,2269.0
3.64,16969.0,2271.0
3.65,16865.0,2271.0
3.66,16767.0,2272.0
3.67,16750.0,2273.0
3.68,16655.0,2276.0
3.69,16545.0,2273.0
3.7,16574.0,2273.0
3.71,16487.0,2272.0
3.72,16438.0,2272.0
3.73,16427.0,2275.0
3.74,16297.0,2274.0
3.75,16189.0,2273.0
3.76,16136.0,2275.0
3.77,16030.0,2270.0
3.78,15987.0,2274.0
3.79,15883.0,2274.0
3.8,15721.0,2275.0
3.81,15680.0,2276.0
3.82,15630.0,2276.0
3.83,15472.0,2278.0
3.84,15229.0,2274.0
3.85,15271.0,2278.0
3.86,15181.0,2277.0
3.87,15078.0,2277.0
3.88,15049.0,2278.0
3.89,14980.0,2281.0
3.9,14832.0,2278.0
3.91,14745.0,2279.0
3.92,14668.0,2281.0
3.93,14607.0,2276.0
3.94,14580.0,2282.0
3.95,14289.0,2282.0
3.96,14236.0,2280.0
3.97,14223.0,2284.0
3.98,14061.0,2284.0
3.99,13959.0,2280.0
4.0,13924.0,2281.0
4.01,13747.0,2286.0
4.02,13644.0,2282.0
4.03,13525.0,2287.0
4.04,13385.0,2288.0
4.05,13247.0,2287.0
4.06,13156.0,2290.0
4.07,12999.0,2290.0
4.08,12855.0,2287.0
4.09,12731.0,2292.0
4.1,12619.0,2292.0
4.11,12546.0,2291.0
4.12,12373.0,2293.0
4.13,12231.0,2296.0
4.14,12034.0,2293.0
4.15,11888.0,2292.0
4.16,11751.0,2296.0
4.17,11724.0,2290.0
4.18,11541.0,2295.0
4.19,11307.0,2294.0
4.2,11249.0,2295.0
4.21,11009.0,2295.0
4.22,11005.0,2299.0
4.23,10877.0,2294.0
4.24,10693.0,2299.0
4.25,10514.0,2299.0
4.26,10435.0,2299.0
4.27,10277.0,2300.0
4.28,10141.0,2302.0
4.29,10033.0,2297.0
4.3,9881.0,2306.0
4.31,9748.0,2304.0
4.32,9672.0,2300.0
4.33,9456.0,2305.0
4.34,9314.0,2307.0
4.35,9242.0,2303.0
4.36,9050.0,2303.0
4.37,8962.0,2304.0
4.38,8822.0,2302.0
4.39,8659.0,2303.0
4.4,8480.0,2306.0
4.41,8369.0,2310.0
4.42,8207.0,2310.0
4.43,8086.0,2310.0
4.44,7891.0,2308.0
4.45,7762.0,2314.0
4.46,7688.0,2313.0
4.47,7537.0,2309.0
4.48,7339.0,2316.0
4.49,7223.0,2311.0
4.5,7180.0,2311.0
4.51,6979.0,2317.0
4.52,6872.0,2318.0
4.53,6716.0,2314.0
4.54,6538.0,2323.0
4.55,6538.0,2319.0
4.56,6285.0,2321.0
4.57,6087.0,2324.0
4.58,6042.0,2321.0
4.59,5829.0,2319.0
4.6,5547.0,2324.0
4.61,5427.0,2320.0
4.62,5282.0,2322.0
4.63,5077.0,2326.0
4.64,5064.0,2323.0
4.65,4920.0,2320.0
4.66,4734.0,2325.0
4.67,4716.0,2323.0
4.68,4580.0,2321.0
4.69,4405.0,2328.0
4.7,4367.0,2324.0
4.71,4274.0,2321.0
4.72,4099.0,2328.0
4.73,4122.0,2324.0
4.74,4047.0,2325.0
4.75,3837.0,2327.0
4.76,3828.0,2327.0
4.77,3725.0,2325.0
4.78,3585.0,2328.0
4.79,3613.0,2328.0
4.8,3510.0,2323.0
4.81,3324.0,2326.0
4.82,3314.0,2325.0
4.83,3211.0,2326.0
4.84,3078.0,2328.0
4.85,3095.0,2329.0
4.86,2970.0,2325.0
4.87,2885.0,2330.0
