x,y1,y2
0.0,17901.0,7504.0
0.01,18109.0,7512.0
0.02,18012.0,7500.0
0.03,17904.0,7495.0
0.04,18134.0,7501.0
0.05,17975.0,7494.0
0.06,17928.0,7499.0
0.07,18131.0,7502.0
0.08,17992.0,7492.0
0.09,17978.0,7492.0
0.1,18146.0,7483.0
0.11,17944.0,7465.0
0.12,17971.0,7473.0
0.13,18109.0,7473.0
0.14,17972.0,7474.0
0.15,18032.0,7457.0
0.16,18153.0,7463.0
0.17,17967.0,7443.0
0.18,18010.0,7496.0
0.19,18074.0,7453.0
0.2,17906.0,7471.0
0.21,18061.0,7487.0
0.22,18180.0,7415.0
0.23,17961.0,7460.0
0.24,18073.0,7459.0
0.25,18114.0,7455.0
0.26,17996.0,7458.0
0.27,18103.0,7460.0
0.28,18073.0,7452.0
0.29,18010.0,7455.0
0.3,18096.0,7462.0
0.31,18109.0,7460.0
0.32,18062.0,7468.0
0.33,18170.0,7466.0
0.34,18062.0,7445.0
0.35,18063.0,7464.0
0.36,18132.0,7467.0
0.37,18054.0,7446.0
0.38,18085.0,7472.0
0.39,18196.0,7449.0
0.4,18071.0,7451.0
0.41,18045.0,7456.0
0.42,18147.0,7467.0
0.43,18057.0,7484.0
0.44,18045.0,7499.0
0.45,18134.0,7488.0
0.46,18073.0,7477.0
0.47,18099.0,7474.0
0.48,18146.0,7474.0
0.49,18033.0,7473.0
0.5,18092.0,7486.0
0.51,18152.0,7489.0
0.52,18044.0,7491.0
0.53,18139.0,7483.0
0.54,18165.0,7465.0
0.55,18022.0,7496.0
0.56,18135.0,7475.0
0.57,18115.0,7474.0
0.58,17963.0,7477.0
0.59,18094.0,7478.0
0.6,18102.0,7470.0
0.61,18020.0,7458.0
0.62,18235.0,7460.0
0.63,18191.0,7452.0
0.64,18148.0,7467.0
0.65,18315.0,7454.0
0.66,18218.0,7465.0
0.67,18089.0,7466.0
0.68,18305.0,7467.0
0.69,18164.0,7460.0
0.7,18143.0,7460.0
0.71,18313.0,7438.0
0.72,18177.0,7453.0
0.73,18143.0,7447.0
0.74,18277.0,7452.0
0.75,18128.0,7440.0
0.76,18182.0,7464.0
0.77,18323.0,7452.0
0.78,18188.0,7459.0
0.79,18219.0,7453.0
0.8,18356.0,7455.0
0.81,18139.0,7461.0
0.82,18235.0,7473.0
0.83,18276.0,7463.0
0.84,18116.0,7465.0
0.85,18234.0,7475.0
0.86,18290.0,7476.0
0.87,18105.0,7466.0
0.88,18289.0,7480.0
0.89,18287.0,7460.0
0.9,18112.0,7468.0
0.91,18265.0,7481.0
0.92,18206.0,7467.0
0.93,18040.0,7481.0
0.94,18276.0,7489.0
0.95,18179.0,7457.0
0.96,18116.0,7473.0
0.97,18261.0,7469.0
0.98,18148.0,7472.0
0.99,18121.0,7485.0
1.0,18296.0,7487.0
1.01,18152.0,7469.0
1.02,18157.0,7481.0
1.03,18399.0,7491.0
1.04,18243.0,7480.0
1.05,18206.0,7480.0
1.06,18411.0,7463.0
1.07,18230.0,7471.0
1.08,18272.0,7474.0
1.09,18383.0,7472.0
1.1,18197.0,7454.0
1.11,18274.0,7453.0
1.12,18376.0,7445.0
1.13,18207.0,7453.0
1.14,18256.0,7454.0
1.15,18376.0,7444.0
1.16,18155.0,7463.0
1.17,18310.0,7455.0
1.18,18384.0,7450.0
1.19,18237.0,7446.0
1.2,18389.0,7448.0
1.21,18385.0,7446.0
1.22,18203.0,7463.0
1.23,18343.0,7447.0
1.24,18321.0,7447.0
