x,y1,y2
0.0,17756.0,10371.0
0.01,17726.0,10438.0
0.02,17606.0,10429.0
0.03,17639.0,10396.0
0.04,17665.0,10421.0
0.05,17610.0,10381.0
0.06,17710.0,10365.0
0.07,17701.0,10418.0
0.08,17566.0,10370.0
0.09,17636.0,10332.0
0.1,17652.0,10414.0
0.11,17548.0,10380.0
0.12,17619.0,10386.0
0.13,17660.0,10416.0
0.14,17565.0,10388.0
0.15,17591.0,10340.0
0.16,17678.0,10376.0
0.17,17559.0,10385.0
0.18,17568.0,10320.0
0.19,17676.0,10349.0
0.2,17572.0,10355.0
0.21,17578.0,10318.0
0.22,17677.0,10374.0
0.23,17592.0,10376.0
0.24,17548.0,10350.0
0.25,17673.0,10357.0
0.26,17624.0,10355.0
0.27,17617.0,10341.0
0.28,17641.0,10354.0
0.29,17644.0,10388.0
0.3,17654.0,10393.0
0.31,17665.0,10403.0
0.32,17665.0,10390.0
0.33,17711.0,10396.0
0.34,17651.0,10370.0
0.35,17653.0,10369.0
0.36,17651.0,10408.0
0.37,17652.0,10383.0
0.38,17721.0,10385.0
0.39,17746.0,10414.0
0.4,17726.0,10393.0
0.41,17805.0,10369.0
0.42,17849.0,10407.0
0.43,17773.0,10360.0
0.44,17799.0,10353.0
0.45,17830.0,10385.0
0.46,17764.0,10399.0
0.47,17818.0,10378.0
0.48,17868.0,10406.0
0.49,17783.0,10376.0
0.5,17832.0,10342.0
0.51,17909.0,10388.0
0.52,17798.0,10403.0
0.53,17821.0,10381.0
0.54,17900.0,10398.0
0.55,17759.0,10423.0
0.56,17755.0,10375.0
0.57,17884.0,10395.0
0.58,17794.0,10377.0
0.59,17793.0,10367.0
0.6,17878.0,10377.0
0.61,17827.0,10360.0
0.62,17778.0,10337.0
0.63,17824.0,10379.0
0.64,17790.0,10359.0
0.65,17799.0,10339.0
0.66,17834.0,10362.0
0.67,17806.0,10349.0
0.68,17824.0,10334.0
0.69,17884.0,10360.0
0.7,17828.0,10355.0
0.71,17834.0,10337.0
0.72,17810.0,10347.0
0.73,17794.0,10349.0
0.74,17817.0,10331.0
0.75,17824.0,10339.0
0.76,17818.0,10358.0
0.77,17869.0,10363.0
0.78,17840.0,10364.0
0.79,17837.0,10343.0
0.8,17907.0,10351.0
0.81,17844.0,10335.0
0.82,17800.0,10321.0
0.83,17873.0,10337.0
0.84,17858.0,10394.0
0.85,17851.0,10341.0
0.86,17978.0,10337.0
0.87,17940.0,10385.0
0.88,17919.0,10350.0
0.89,18031.0,10331.0
0.9,17987.0,10353.0
0.91,17935.0,10317.0
0.92,18043.0,10334.0
0.93,18017.0,10367.0
0.94,17995.0,10364.0
0.95,18111.0,10386.0
0.96,18083.0,10409.0
0.97,18044.0,10382.0
0.98,18122.0,10374.0
0.99,18079.0,10403.0
1.0,18013.0,10379.0
1.01,18100.0,10399.0
1.02,18048.0,10451.0
1.03,18028.0,10409.0
1.04,18120.0,10396.0
1.05,18123.0,10424.0
1.06,18071.0,10374.0
1.07,18127.0,10391.0
1.08,18072.0,10371.0
1.09,18060.0,10330.0
1.1,18118.0,10344.0
1.11,18042.0,10356.0
1.12,18037.0,10348.0
1.13,18153.0,10371.0
1.14,18071.0,10358.0
1.15,18091.0,10331.0
1.16,18155.0,10347.0
1.17,18072.0,10375.0
1.18,18058.0,10322.0
1.19,18130.0,10356.0
1.2,18075.0,10370.0
1.21,18083.0,10360.0
1.22,18154.0,10359.0
1.23,18124.0,10354.0
1.24,18147.0,10337.0
1.25,18177.0,10348.0
1.26,18117.0,10396.0
1.27,18099.0,10332.0
1.28,18160.0,10372.0
1.29,18111.0,10365.0
1.3,18137.0,10330.0
1.31,18219.0,10392.0
1.32,18136.0,10365.0
1.33,18199.0,10325.0
1.34,18253.0,10362.0
1.35,18165.0,10362.0
1.36,18187.0,10330.0
1.37,18258.0,10373.0
